,message,label
0,Amorcito para los bloques negros 🖤 Fuego a la yuta 🔥,non-racist
1,@smallchicle Bueno los moros sois como los franceses pero sucios,non-racist
2,Detenidos seis menores magrebíes por encerrar y amenazar a dos cuidadoras de un centro de acogida en Fuerteventura - La Provincia,racist
3,Lo de los inmigrantes ilegales es una vergüenza! #LevantandoEspaña☝️🇪🇦 #TeamVox ⚔️💚⚔️ #LevantandoEspañaConVox 👑🇪🇦,racist
4,"Ecoembes, entidad sin ánimo de lucro, acusada de inflar la cantidad de envases que recicla",non-racist
5,@BeatrizValenzu2 @PeterlouisMR @example_1000 Esa es la parte triste no pagarán por el delito que han cometido #ArribaVOXvenceremos #VoxExtremaNecesidad #SiguemeYTeSigoVOX,non-racist
6,👉Emiratos Árabes reduce su jornada laboral… ¿Para qué trabajan tanto los mexicanos? Por: @MiguelAleRivera,non-racist
7,"#TomaNota| En 72 hrs, #Puebla registra 2 mil 057 nuevos contagios #COVID #coronavirus #pandemia @SaludGobPue",non-racist
8,"@PosAntonio @Merrirrous2001 Matan negros en EEUU, dan palizas a chinos acusándoles d propagar la pandemia, menospreciamos a los gitanos, sirios, rumanos, marroquíes.... sigo?",racist
9,"@MiraHayconejos1 @Faby_Mguajardo @jezielpasmino @linkoyan75 los sionistas también son Judíos amigas, Hitler también los odió mucho igual como lo hace Jadue",non-racist
10,"@simangeo A esa basura sionista les falta enseñar como confiscar los bienes de los propios judíos que no son sionistas, tal cual como lo hicieron con muchos judíos deportados de la Alemania Nazi con el acuerdo Haavara",non-racist
11,"Porque los judíos exigen signos, los griegos buscan sabiduría; pero nosotros predicamos a Cristo crucificado: escándalo para los judíos, necedad para los gentiles; pero, para los llamados -judíos o griegos-, un Mesías que es fuerza de Dios y sabiduría de Dios.",non-racist
12,"@MegaraNL @Evita14305211 Claro es verdad de él no se hablo, hablaron de las pruebas q va a enseñar socialite y del fantasma. Y de: Son como gítanos.",non-racist
13,"#República 🚨 🚓 Uno de los detenidos contaba con una ficha roja de búsqueda, por su probable relación con un grupo delictivo dedicado a la falsificación de medios de pago electrónicos en diversos países de Europa ⬇️",non-racist
14,Mientras tanto en #Chile se organizan marchas xenófobas. Ese nivel de miseria #Xenofobia #Iquique #Racismo #Venezuela #CrisisMigratoria,non-racist
15,@corzabici @ciudad_magazine @AngeldebritoOk Y de todo esto tienen la culpa las tres menas? Por eso no las mantiene? Por eso dejo de pagar lo q corresponde? Por eso es un irresponsable con ellas? Mamita después se rasgan las vestiduras con el machismo y son las primeras en fogonearlos,racist
16,"Para @icembrero, del @elconfidencial, Ceuta es ""un modelo de convivencia"". ¿Que siete ilegales agredan a un chaval para robarle es convivencia? En VOX seguiremos destapando las consecuencias del multiculturalismo que los medios y los partidos quieren imponer a los españoles.",racist
17,🔪🔥 El multiculturalismo es el negocio de la izquierda y el separatismo. La delincuencia derivada de sus políticas de fronteras abiertas la pagan los catalanes en sus barrios. Queremos una #CataluñaLibre de delincuentes 💪🇪🇸,racist
18,"@A24COM @Kicillofok Antes de decir que murieron de #covid, hagan #AUTOPSIAS La forma LEGAL y CIENTÍFICA de determinar la VERDADERA causa de muerte y saber si hubo mala praxis por protocolos incorrectos de la Organización Mundial de la Salud OMS Sin autopsias, todo es especulación",non-racist
19,"@GabrielSinMas @aljoroco4 @vox_es Porque España conquistó América, pero nosotros incluso nuestra matemática procede de musulmanes, así como gran parte de el conocimiento de occidente",racist
20,"@luisaalcoceber @JesusCintora Mientras defienden (desde el gobierno) a okupas (para q los mantengan los propietarios de esos domicilios), a inmigrantes ilegales q aquí no pueden trabajar al no tener ningún papel, pues tienen q malvivir siendo presa fácil de mafias y sus menores deambulando por las ciudades.",racist
21,"YouTube () El otro Biden: en 2006 votó ""por 700 millas de muro"" y criticaba la inmigración ilegal En 2006 Joe Biden criticaba a los inmigrantes ilegales y pedía reforzar el muro",non-racist
22,@ricardoosegue19 Los negros no pueden opinar,non-racist
23,Casi 200.000 euros a dedo de dinero público de gobiernos del PP a @eduardoinda. Tu abuela 400 euros de pensión. No lo olvides. El problema no eran los MENAS. Eran los corruptos.,racist
24,"@monicabernabe1 @salvadostv Para cuando un especial sobre inmigración ilegales que viola a niñas españolas, Magrebíes marroquíes y subsaharianos, bandas latinas y sinverguezas varios que roban, trafican, okupan y delinquen por toda la geografía española y europea. Lo tienes fácil, sólo tienes que mirar.",racist
25,"SáncHEZ; ""hay que cumplir la Constitución integra"": 2 EA ilegales, Cierre del Congreso ilegal Gobierno con Comunistas, Terrorįstas, Golpįstas, Supremącistas, Subvenciona Plus Ultra, Maletas Delçy, 60k įlegales 2021, mantęros, ocupąs, męnas, Al servicio de Foros Puebla, Sao Paulo",non-racist
26,"@MartaNebot @publico_es Te imaginas que te violasen una manada de magrebíes,yo me iba a estar descojonando dos meses.",racist
