|message|label
0|@Karmaleonic Estas mal, a los tres magrebíes que han violado a una chica, uno se ha escapado a Marruecos, y los otros dos están en libertad a espera de juicio porque el juez no cree que exista riesgo de fuga.|racist
1|@Biba4343 @populares @pablocasado_ El PP tiene que pedir PERDÓN a todos los Españoles, por el daño que nos están haciendo, son ustedes unos COBARDES, todos los INMIGRANTES ILEGALES, deportación inmediata YA Roban, violan, okupan, agreden violenta/, homófobos, machistas, segracionistas, intolerantes religiosos...|racist
2|"Un diputado de Navarra Suma saca los colores a Montero y el PSOE por el ""pacto de la infamia"" con Bildu"|non-racist
3|Una recomendación del Parlamento Europeo que discrimina a todos los hombres europeos. @Europarl_EN Una nueva ideología totalitaria planea sobre europa como cuando todo era culpa de los judíos y comunistas|non-racist
4|Cartagena. Vecinos denuncian continuos robos. Grupo de 5-6 magrebís. en ciudad y campo. ¿Dónde están la Policía y la Guardia Civil? Uno por otro, la casa sin barrer. Están identificando y multando a ciudadanos que pasean porque es lo que exigen sus jefes, estadísticas. #Basura|racist
5|@ElLehrer 2/2 mucha gente en serio piensa que si están las cosas mal es porque la gente no hace lo correcto para salir adelante. Y si piensa que está haciendo le culpa a todos los hippies, vagos, LGTBQ, judios, comunistas o lo que sea por su situación. Esta charla va a continuar x mucho😘|non-racist
6|@unkaos @Alvisepf @guardiacivil Como los de ETA , indepes o los ilegales y menas?|racist
7|"@Carlosiden2225 Me había asustado. Pensé que ponía ""Basta de moros voladores"""|non-racist
8|El problema es que los medios hacen sangre de los policías mientras callan las tropelías de los inmigrantes ilegales. Vaya democracia nos está quedando.|racist
9|La Cartuja vibró con el himno de España|non-racist
10|Ya comenzó la migración descontrolada, inmigrantes dicen que pasan por el lado de los militares y no les impiden el paso, la pregunta para que sirve el ejército si no Es para resguardar Chile|racist
11|¿Sorpresa? Esperanza Aguirre y su marido vendieron un Goya inédito por cinco millones sin protegerlo como bien cultural para ahorrarse impuestos a través de @eldiarioes|non-racist
12|@BeaMfc_ @HennesseyDaddy7 @fatimacruzr cuando dije eso ajdjajd dije que mexico tiene mexicanos, decir de la nada latinos (aunque lo son) suena como que latinoamerica = mexico|non-racist
13|@restre500 Quieren movida, que tengan cuidado con los sudacas👿|non-racist
14|El twuitter me dejó sin mis últimas publicaciones. No tienen caso .decís lo que ellos no quieren y te demuestran que son judíos y no tienen solución.|non-racist
15|@Felipe_Cano_ @populares Hace tiempo ,hacia Ramadán un compañero,y se molestaba porq yo bebía agua delante de él ,claro le dan ínfulas de superioridad ,eso pasa con los menas,con los inmigrantes,con los gitanos y todos.los colectivos ,q se creen q por ser de ese idem, estan x encima @sanchezcastejon|non-racist
