message|labeller_id|label
🔴 Un grupo de inmigrantes de botellón y sin mascarilla hacen caso omiso de las indicaciones de la policía local en Badiá del Vallés, que intentaba desalojarlos. CasosAislados|1|non-racist
Recopilamos las principales noticias sobre brotes por #Covid_19 en España. Abrimos hilo 👇|1|non-racist
Esto debería leerlo todo Ecuador. Es el mayor escándalo de imparcialidad de un comité electoral que vi. La elección de las 5 personas por el CNE tienen un sesgo anticorreista y de relaciones con medios y fundaciones financiadas desde EEUU terrible. #LasEleccionesVanPorqueVan|1|non-racist
Más de 300 inmigrantes intentan saltar la valla de Melilla y dejan a tres guardias civiles heridos|1|non-racist
Aena invierte más de 31 millones de euros en el control sanitario de pasajeros. En @transparentia_ te lo explicamos 👇🏼|1|non-racist
¿Cinco ex menas, @elmundoes? Cinco inmigrantes ilegales que merecen ser expulsados y cumplir pena en sus países. Los políticos progres de todos los partidos han destrozado nuestros barrios con sus experimentos multiculturales. ¡Pongamos Ley y Orden!|1|racist
🔴El número de inmigrantes que llega a las islas crece un 520% en lo que va de año. Dale a esto 10 años más.|1|non-racist
Intento de motín con cuchillos y tijeras en un centro de 'menas' en Gran Canaria|1|non-racist
Detenidos cuatro menas por la brutal paliza a un joven en el distrito madrileño de San Blas|1|racist
Las mafias celebran el efecto llamada de la izquierda y amplían su negocio al traslado de inmigrantes|1|non-racist
El Ministerio de Sanidad certifica que Salvador Illa no ha recibido la vacuna contra el coronavirus a través de @eldiarioes|1|non-racist
Así se fugaron tras llegar en patera los 35 inmigrantes que busca la Policía en Cádiz|1|racist
🛑 Menores inmigrantes asaltan fincas y viviendas en El Salobre en San Bartolomé de Tirajana, Gran Canaria. Los canarios ya tienen su Lampedusa.|1|racist
Cinco inmigrantes marroquíes apuñalan a un taxista para robarle y, ya que están, violan a la pasajera|1|racist
El efecto llamada de Sánchez: las costas de Canarias reciben una media de 147 menas al mes|1|racist
❌ No, estas fotos no son de la manifestación del 1 de agosto en Berlín contra las medidas de Alemania para frenar el coronavirus: son protestas antirracistas llevadas a cabo en junio 👇|1|non-racist
