|index|message|pred_ensemble|pred_xgb
0|1|"""Iraquíes no árabes ni musulmanes, los yazidíes han constituido durante mucho tiempo una de las minorías más vulnerables de este país. Miles de ellos huyeron de las persecuciones bajo el régimen de Sadam Husein (1979-2003)."""|0|1
1|9|#Gerona #España Simpáticos magrebíes agreden a miembros de la Policía Local de Figueras. Estos intentan detenerlos mientras sus amigos se burlan.|0|1
2|19|#lanoche24h Los colectivos #LGBT #LGTBI , menas e inmigrantes son para el fascismo del siglo XXI lo que los Judíos fue para el nazismo en el siglo XX. #5julio|0|1
3|22|2 A.M escuchando LOS MOROS. Alguien que me mate|1|0
4|24|@3porciento_3 me pareció ver a tu hijo de 3 años abrazándose a un grupo de Menas... Ahora lo entiendo todo, son sus costumbres|0|1
5|27|@Abellcymeg Zowl Sos un boludo enorme No todos los gitanos son ladrones|1|0
6|36|@AntofagastaTV Grave. Lamentablemente son impunes por su condición de ilegales. Una verdadera mierda eso que llaman INMIGRANTES en Antofagasta|1|0
7|38|@Ayoub32181457 @Miguel_98a @vox_es Regalar nuestro trabajo a los moros es comercio.|1|0
8|43|@BeatrizValenzu2 @PeterlouisMR @example_1000 Esa es la parte triste no pagarán por el delito que han cometido #ArribaVOXvenceremos #VoxExtremaNecesidad #SiguemeYTeSigoVOX|1|0
9|46|@Bobores Luego les roban los recursos naturales y encima son un menas que vienen a robarnos, la hipocresía y el cinismo a su máxima expresión.|0|1
10|47|@CETLG284 @EmiZrate4 Los Mexicanos se resisten a recibir educación? No. Los gitanos si. Los Mexicanos robamos cada cosa que vemos conveniente? No. (Hay un vergo de gente huevona, y la identificamos facil si sigue a AMLO). Los Gitanos si. Literalmente esos te agarran entre varios los muy cobardes.|0|1
11|48|@CanaryAzote A este paso la RAE va a tener que crear una nueva acepción para magrebíes; dícese de los delincuentes violentos que actúan en grupo en España|0|1
12|51|@CarmenMarLan35 Lo hacen por dinero, como en cualquier oficio. De cuando en cuando te encuentras con alguna obligada, pero igual que pasa en el campo con algunos inmigrantes subsaharianos, rumanos, búlgaros, etc. Son casos raros. La mayoría viven de su cuerpo porque es cómodo y rentable.|0|1
13|61|@DiegoVanval @dialex07 @juanes Pues obvio qué hay pobreza en todos los países, vaya en new York a Manhattan. En el centro veo inmigrantes e indigentes. Sobre la guajira: si usted se va a vivir al último rincón del país y no trabaja la comida no va a caer del cielo.|0|1
14|64|@EJLantigua Soto va a estar a nivel de Harper/Tatis. Ya debemos dejar de privar en #victimas en todo. Los latinos tan súper bien pagados. Y si no gana premios…es porque no los merecen.|1|0
15|67|@EmpresarioVox Que ganas de crear odio. Los magrebíes todos unos delincuentes, los alemanes unos nazis y los españoles por supuesto todos somos unos vagos incompetentes...|0|1
16|71|@Felipe_Cano_ @populares Hace tiempo ,hacia Ramadán un compañero,y se molestaba porq yo bebía agua delante de él ,claro le dan ínfulas de superioridad ,eso pasa con los menas,con los inmigrantes,con los gitanos y todos.los colectivos ,q se creen q por ser de ese idem, estan x encima @sanchezcastejon|0|1
17|74|@Gabriel25613463 @PSC_CampdeTgn Claro, claro. Debe ser por eso que muchos rumanos emigran a España. Total, para estar igual que allí. ¡Qué estupidez! Hazte mirar ese fanatismo. Te produce ceguera 😜|1|0
18|75|@GabrielSinMas @aljoroco4 @vox_es Porque España conquistó América, pero nosotros incluso nuestra matemática procede de musulmanes, así como gran parte de el conocimiento de occidente|0|1
19|77|@GenticamenteS @populares @IdiazAyuso Qué se empeñan ustedes en entelequias: Vidal, San Gil, Mayor fueron víctimas del abandono de la ideología del PP. Lo de Ayuso son celos de prima donna, simplemente les da rabia que ella caiga mejor. Las políticas, son iguales (MENAS, mafia heterofóbica...).|0|1
20|78|@Gore_Tarapaca @IquiqueDeTodos #iquique #venezolanos en esté momento se acaban de instalar en la Plaza Patricio Riveros, ubicada en el morro, vecinos no quieren que se convierta en otra Plaza Brasil actualmente tomada por inmigrantes Venezolanos.|1|0
21|79|@HGomez_Chile @RodriCastroA @jacob_LaSerena @gabrielboric Quién es el candidato que les da la bienvenida a los inmigrantes y quién es el que está en contra de los ilegales?. Ahí te la dejo.|0|1
22|84|@HelenaVillarRT Medios pagados por judíos y gringos, qué esperaban…|1|0
23|93|@Jorgebuxade A ver Blas, ¿a algunos ciudadanos los hemos de tratar diferente por ser magrebíes? Pues vaya racista estás hecho. ¿A qué país enviamos al 90% de los delincuentes de origen español? - Con cariño, Epi|1|0
24|98|@Kittyfolyen_ Cada uno es lo que es, unos son blancurrios y otros mulatos,, realmente la policía no ha dicho nada, y cuando no dice nada, pues imaginate.. La realidad es que la bandas ya sean latinas o de menas son un problema..no todos los inmigrantes son tan buenos como yo.. 😜|0|1
25|101|@Lolxd4K Yo puedo con 10 negros y el pelon de brazzers|1|0
26|127|@PosAntonio @Merrirrous2001 Matan negros en EEUU, dan palizas a chinos acusándoles d propagar la pandemia, menospreciamos a los gitanos, sirios, rumanos, marroquíes.... sigo?|0|1
27|130|@ReinaldoDMM Allí no hay gitanos verdad? Eso aquí se lo ventilan con 2 Ford Tránsit sin ITV y más golpes q un cajón q cierra mal en 2 tardes..|1|0
28|132|@Rickiard0 @TheBlones10 @sekoputalefran1 Me refiero , los gitanos son rumanos , pero no que todos los rumanos sean gitanos|0|1
29|141|@StopLazipithecu Mejor hazlo público en círculos rumanos... Les han quitado el mercado|1|0
30|145|@TiempoRealEC @PoliciaEcuador @MinGobiernoEc Malditos inmigrantes|1|0
31|150|"@VictoriaCF @JuanJoseAvalo1 @edelvallerod Lo dice muy claro ""la MONADA ESA de la cruz roja ayudar a los MAGREBÍES que vienen muy mal"". Habla de todos los magrebíes (referència a los que vinieron en mayo sin distingir delincuentes) y denigra a la chica. Pero claro, l@s racistas y machistas de mierda de v🤮x os blanqueáis."|1|0
32|164|@controladores Inmigrantes ilegales paralizan el aeropuerto de Palma al huir de un avión marroquí|0|1
33|166|@crismartinj Ya tendrán hijos los musulmanes por nosotros...|1|0
34|178|@elmundoes Curro Jiménez ..Sánchez alias el bandolero..el que roba a su pueblo para ayudar a los más desfavorecidos a vagos.inmigrantes.ninis.menas.moros.negros.okupas.violadores .delincuentes.pues yo le aconsejo que ayude a la gente trabajadora y a los empresarios .|1|0
35|179|@enriiquee19 al ser en la ciudad de los menas creo Bordalás pechea|0|1
36|181|@esp_soc Aguante Armenia, eres un ejemplo de resilencia y amor. Los musulmanes asesinos no te venceran jamas...|1|0
37|185|"@fantomastxiki @amaia_haikazti también había un ""me cago en los moros juanes"" aunque muy racista, al menos a los afectados, los seleccionaba por su nombre..."|0|1
38|188|@geoestratego Algo tiene el agua cuando la bendicen y algo tienen los musulmanes, que vayan donde vayan y estén donde esten, tienen problemas con los demás...|0|1
39|189|"@gorka581 @Alvisepf El Alvisé inventándose la historia como de costumbre 🤣🤦‍♀️Unos Magrebíes dan una paliza a un ""español"" por defender a una chica... Y el supuesto ""español"" es más moreno q el azúcar de los mojitos q se toma la Ayuso 🤣🤣🤣."|0|1
40|202|@jorgeorwell_1 @FilosofiaPolti @electo_mania Dime, cuantas noticias de españoles delincuentes ves? Cuantas de magrebíes?|0|1
41|213|@luishrUD Por supuestísimo! si no lloras las desgracias de los ricos, y te preocupas de los inmigrantes, menas, prostitutas, y refugiados de guerra eres un ser humano horrible! Vivan los corruptos morales como tú!|0|1
42|215|@lumalamo @_anapastor_ Eso lo iba a denunciar la Ministra de Igual Da. Ah no, espera, que como en este caso los violadores eran magrebíes se le presentaba un conflicto de intereses y pasó a silenciarlo, como silenció lo de las niñas violadas de Baleares por sus otros motivos.|0|1
43|225|@navedelmisterio #Horizonte comprueben en el mapa donde se instalan los inmigrantes ilegales|0|1
44|232|@okdiario Deporténlos a todos o los va a tener que intervenir la ONU y la OTAN. Todos los ecuatorianos, hondureños, negratas, gitanos, moros y magrebiés tienen que irse o España termina como Somalia en 15 años.|1|0
45|237|@plomoparejo Primera vez que ve una laptop y le tiene la mano cerca mas no la toca por que cree que CORROMPE al más fiel de los musulmanes. Jajajaja|0|1
