|Unnamed: 0|message|label
0|0|"""En ese momento tenías la sensación de que algo estaba cambiando. Los parámetros en los que habíamos hecho política en el ámbito del activismo social de repente se habían ensanchado"", @agarzon actual ministro de Consumo. #15MPODCAST :"|non-racist
1|1|"""Iraquíes no árabes ni musulmanes, los yazidíes han constituido durante mucho tiempo una de las minorías más vulnerables de este país. Miles de ellos huyeron de las persecuciones bajo el régimen de Sadam Husein (1979-2003)."""|racist
2|2|"""Perdimos el hambre de conocer y preferimos refugiarnos en paisajes conocidos. Turistas temerosos guiados por un capitalismo voraz que reproduce escenarios idénticos en todas las partes del mundo"". 🎧 ""Arte: en busca del paraíso perdido"""|non-racist
3|3|"""no he visto a los musulmanes ir contra los homosexuales con un autobus"" Es cierto, en los paises musulmanes les cuelgan o les meten preso."|non-racist
4|4|"""oye tu para ser de Ecuador eres guapa EH"" ""tu no eres como los demás ""panchitos"" ya sabes tu eres trabajadora"" ""oye pero tu tienes acento de aquí pero no eres de aquí a que no o sea es que no puedes ser de aquí por esos rasgos verdad que no, osea eres super exótica eh"""|non-racist
5|5|#Afirmación para ir a dormir😴 ✨Hoy he dado lo mejor de mí✨ #afirmaciones #pazinterior #buenasnoches #mundo #latinos|non-racist
6|6|#COVID: Conoce las cifras de COVID-19 en Querétaro.|non-racist
7|7|#Delincuentes #Delincuencia #Venezolanos #Venezolano #inmigrantes ¡YA BASTA! #Carabineros #CarabinerosDeChile ¿Quién hace algo? ¿Dónde están los #DDHH ? FINANCIADO X #Chile y además la #ONU @ONUChile ☠️|racist
8|8|"#ElGobiernodelaMentira #LevantandoEspaña #TeamVox ⚒💚⚒ Este es el llamado ""discurso que mató a John F. Kennedy"""|non-racist
9|9|#Gerona #España Simpáticos magrebíes agreden a miembros de la Policía Local de Figueras. Estos intentan detenerlos mientras sus amigos se burlan.|racist
10|10|#LevantandoEspañaConVox #LevantandoEspaña #TeamVox #StopIslamización Un periodista CATALÁN llama NAZ1 a VOX y GARRIGA le da un REPASO HISTÓRI... a través de @YouTube|non-racist
11|11|#LevantandoEspañaConVox #LevantandoEspaña #TeamVox ¿Han santificado ya a Joe Biden? a través de @ElDiestro_|non-racist
12|12|#LevantandoEspañaTeamVox #LevantandoEspaña #LevantandoEspañaconVox Cuando te enteres de lo que pretende hacer Facebook con Whats App, probablemente decidas darte de baja y pasarte a Telegram, Signal o similares...|non-racist
13|13|#Lomásleído Detenidos los dos menores magrebíes que apuñalaron a un trabajador de Renfe en Tres Cantos.|racist
14|14|#Magrebíes ¿Sinónimo en todo el orbe de amenazas, robos, violaciones, asesinatos...?, ¿Es su cultura? En España son los protegidos con paguita de los progres y el pesebre de votos de la izquierda🤬|racist
15|15|"#NewtralData | El 17 de julio Cantabria fue la comunidad que más población ganó respecto a los que pasaron la noche en otro territorio mientras que la Comunidad de Madrid fue la que perdió más habitantes. Más información en este mapa 👇"|non-racist
16|16|#República 🚨 🚓 Uno de los detenidos contaba con una ficha roja de búsqueda, por su probable relación con un grupo delictivo dedicado a la falsificación de medios de pago electrónicos en diversos países de Europa ⬇️|non-racist
17|17|"#TomaNota| En 72 hrs, #Puebla registra 2 mil 057 nuevos contagios #COVID #coronavirus #pandemia @SaludGobPue"|non-racist
18|18|#UruguayosPorElMundo Comenzó la UAE Gulf League de Emiratos Árabes, victoria de Al Wasl donde jugó el coloniense Michel Araújo, 1-0 en su visita a Bani Yas. Ittihad Kalba, que dirige Jorge Da Silva, cayó 1-0 en su visita a Al Sharjah.|non-racist
19|19|#lanoche24h Los colectivos #LGBT #LGTBI , menas e inmigrantes son para el fascismo del siglo XXI lo que los Judíos fue para el nazismo en el siglo XX. #5julio|non-racist
20|20|"#ÚLTIMAHORA 🚨 OFICIAL | ¡Zidane se la juega! 💥 Este es el once del Real Madrid para el partido ante el Sevilla ⚔️ 🔗"|non-racist
21|21|.#Expulsiónya Dos magrebíes abusan sexualmente de una joven en una céntrica plaza de Valencia|racist
22|22|2 A.M escuchando LOS MOROS. Alguien que me mate|non-racist
23|23|3 magrebíes detenidos en Barcelona por robar el reloj a una turista alemana de 80 años. Ya han quedado en libertad.|racist
24|24|@3porciento_3 me pareció ver a tu hijo de 3 años abrazándose a un grupo de Menas... Ahora lo entiendo todo, son sus costumbres|racist
25|25|@6b47e7642cda4fb Pues que se muera allí con sus amigos árabes y que lo entierren en La Meca. Lo único que nos faltaba un funeral de Estado!!!!!!!!!!!!. Pero si eso cuesta un riñón!!|non-racist
26|26|@A24COM @Kicillofok Antes de decir que murieron de #covid, hagan #AUTOPSIAS La forma LEGAL y CIENTÍFICA de determinar la VERDADERA causa de muerte y saber si hubo mala praxis por protocolos incorrectos de la Organización Mundial de la Salud OMS Sin autopsias, todo es especulación|non-racist
27|27|@Abellcymeg Zowl Sos un boludo enorme No todos los gitanos son ladrones|non-racist
28|28|@AgathaCristhie7 @paulanarvaezo Qué más se le puede pedir a esta inmoral dónde fue parte de un gobierno que fallecieron muchos niños de Sename, las muertes del terremoto del 2010, mal uso de dineros, llenaron el país de inmigrantes ilegales etc, etc, etc....|racist
29|29|@AitorMiller Pues no ha llovido, tonto el nabo.|non-racist
30|30|@Alex_LeonD Que los cristianos celebren la Navidad así como los musulmanes celebran el Ramadam y nadie se ofende. ¿Por qué a los cristianos se los discrimina? La doble moral de estos pseudo gobernantes, deberían dar gracias a Dios porque su prosperidad vino gracias al cristianismo.|non-racist
31|31|@AliciaTsMn2 @_tracia_ Todo dicho, mis queridas compatriotas. Una denuncia más y, son magrebies claro, pero Magrebies de Marruecos. No son de Túnez, ni de Argelia, ni Libios, SON MARROQUIES E ILEGALES q están en España X culpa de PSOE Y PARTIDO POPULAR ( PP), los consentidores de todo estos atropellos|racist
