message|label,,,,,,,,,,,
@Karmaleonic Estas mal,a los tres magrebíes que han violado a una chica,uno se ha escapado a Marruecos,y los otros dos están en libertad a espera de juicio porque el juez no cree que exista riesgo de fuga.|racist,,,,,,,,
@Biba4343 @populares @pablocasado_ El PP tiene que pedir PERDÓN a todos los Españoles,por el daño que nos están haciendo,son ustedes unos COBARDES,todos los INMIGRANTES ILEGALES,deportación inmediata YA Roban,violan,okupan,agreden violenta/,homófobos,machistas,segracionistas,intolerantes religiosos...|racist
"Un diputado de Navarra Suma saca los colores a Montero y el PSOE por el ""pacto de la infamia"" con Bildu|non-racist",,,,,,,,,,,
Una recomendación del Parlamento Europeo que discrimina a todos los hombres europeos. @Europarl_EN Una nueva ideología totalitaria planea sobre europa como cuando todo era culpa de los judíos y comunistas|non-racist,,,,,,,,,,,
Cartagena. Vecinos denuncian continuos robos. Grupo de 5-6 magrebís. en ciudad y campo. ¿Dónde están la Policía y la Guardia Civil? Uno por otro,la casa sin barrer. Están identificando y multando a ciudadanos que pasean porque es lo que exigen sus jefes,estadísticas. #Basura|racist,,,,,,,,,
@ElLehrer 2/2 mucha gente en serio piensa que si están las cosas mal es porque la gente no hace lo correcto para salir adelante. Y si piensa que está haciendo le culpa a todos los hippies,vagos,LGTBQ,judios,comunistas o lo que sea por su situación. Esta charla va a continuar x mucho😘|non-racist,,,,,,,
@unkaos @Alvisepf @guardiacivil Como los de ETA,indepes o los ilegales y menas?|racist,,,,,,,,,,
"@Carlosiden2225 Me había asustado. Pensé que ponía ""Basta de moros voladores""|non-racist",,,,,,,,,,,
El problema es que los medios hacen sangre de los policías mientras callan las tropelías de los inmigrantes ilegales. Vaya democracia nos está quedando.|non-racist,,,,,,,,,,,
La Cartuja vibró con el himno de España|non-racist,,,,,,,,,,,
Ya comenzó la migración descontrolada,inmigrantes dicen que pasan por el lado de los militares y no les impiden el paso,la pregunta para que sirve el ejército si no Es para resguardar Chile|non-racist,,,,,,,,,
¿Sorpresa? Esperanza Aguirre y su marido vendieron un Goya inédito por cinco millones sin protegerlo como bien cultural para ahorrarse impuestos a través de @eldiarioes|non-racist,,,,,,,,,,,
