message|label
"Feméride' (DCV): hoy se cumplen 60 años del estreno de ""libertad bajo palabra"" de Alfredo Bettanín, con Lautaro Murúa, Ubaldo Martínez, Enrique Fava y Raúl Parini. Mil vidas en veinticuatro horas. Subastas, parques negros, conductas más o menos honorables. Regreso y hasta pronto."|non-racist
Pegan una paliza a dos policías en Zaragoza Pegan paliza a jóvenes en Tenerife Intento de atraco a taxista en Barcelona Roba y choca un coche contra otros 6 turismos en Barcelona Pero tranquilos que no tenemos problemas con los magrebíes, vienen a pagar pensiones.|racist
@A_ausdenRuthen @SimonLevyMx Pinches musulmanes, todos son iguales. 😂|non-racist
@Puri95702837 @yeilouondeflo @PLAyer__slaYER @liv_june @NoaGresiva No se como ha hecho esa relación, yo hablaba respecto a menas e inmigrantes ilegales, no otra cisa|non-racist
@HamzaMaca a quien juzgo? a ti? has empezado a juzgar que hace mal o bien mi padre sin saber nada de él cosa que no te incumbe y has opinado igual yo solo te he dicho que los musulmanes que juzgan a otros no son buenos musulmanes|non-racist
""" la Policía Nacional busca a dos jóvenes magrebís, como presuntos autores de la agresión"" ¿ Se acabó cargar a los españoles con todos y cada uno de los delitos que nos traen de otras 'culturas? Me temo que no será norma general destacar las nacionalidades de los delincuentes-"|racist
me gustaría que dejasen de meterme en chats porno de Instagram con 9 rumanos|non-racist
@LisQue2 Claro, porque quieren cobrar más., no por la gestión. En todo caso, la gestión de Madrid .. esa si ..|non-racist
🚧 Los vecinos de Tunte (Gran Canaria) levantan barricadas para exigir algo de sentido común: que no se les llene el pueblo de ilegales infectados sin oficio ni beneficio. ¿Para el PSOE y Podemos ellos también son racistas? 📢 #MotivosParaLaMoción|racist
Sí, sí, apagaréis el alumbrado publico nocturno para que veamos bien las estrellas mientras tus MENAs violan a nuestras hijas y nos roban impunemente.|racist
@gaoveag @hilmuj En occidente tienen muchas libertades, mira hacia oriente en los países musulmanes vale mas un camello que una mujer....esas si están oprimidas y ninguna feminista hace nada..|racist
Este es el camino, y no hay otro.|non-racist
"Vomitivo como los latinos ""progres"" que viven en el privilegio geingo y de Hollywood, se la pasen mamando y promoviendo gobiernos en letrinoameroca que empobrecen, desde Gael y Diego a Lopitoz, Gael y Pascal a Boric o el director de Blue Beetle a Pedro Castillo 🤡"|non-racist
Ryanair se salva de 'la sangría' del Covid en el sector aéreo en Bolsa y repunta un 10% en 2020|non-racist
"@fabineiman @FernandezAnibal Aníbal Fernández es guarango y nos hace quedar mal a todos lo argentinos. "" y para todos los hombres del mundo que quieran habitar el suelo argentino"", hay que recordarle, las persecuciones y discriminación que sufrieron los judíos en nuestro país y la función de D.A.I.A."|non-racist
@solecito27502 @katiaospino @HELIODOPTERO @jbedoyalima No juzgue a toda la comunidad por el delito de un miembro de ellos, eso fue lo que hizo Hitler para argumentar el exterminio de los judios.|non-racist
"📍HOTEL REY CARLOS, CANARIAS. ⚔️La INVASIÓN del ""TODO INCLUIDO"" continúa🤬 👀Como veis, todos mujeres y niños que huyen de la guerra🤦🏻‍♂️ ‼️HASTA CUANDO con nuestros IMPUESTOS ⁉️ 🗣️Mientras en España, ➡️4 millones de parados ➡️750.000 ERTES #LaÑEstáEnPeligro #LevantandoEspaña"|racist
@BatShem Hace mucho que no se oye algo tan antisemita como lo de este tipo. Lamentablemente, los judios de Chile deberan irse cuanto antes. Triste.|non-racist
Otra bufonada del ladrón y narcocriminal colombiano @NicolasMaduro Moros.|non-racist
Ángeles Ribes (C’s): «Un protegido de Arrimadas me dio la orden de dejar de defender el español»|non-racist
@cuatroaldia @cuatro @PratSandberg El progreso es pagar el triple por la luz y el gas, pagar por usar las autovías,soltar a los etarras y a los golpistas🎗️,llenar España de menas e inmigrantes ilegales, enchufar amigos, adoctrinar a niños y arruinar el país mientras hablamos de Franco y el Rey, G. COMUNISTA PSOETA|racist
@el_pais En el pp no te quieren ni tus padres,sigue así que Abascal cuando menos te lo esperes,te dará un jaque mate,sin programa alguno,que no sean los menas,los inmigrantes,el feminismo,la igualdad ni existe, hombres cobramos más,las mujeres todo casi gratis ocio,app,etc me parece bien|non-racist
🤮Otro que viene a nuestro país a trabajar🤮 🗡️Cuchillo en mano intenta ROBAR en un súper🤬 ‼️Es INSOPORTABLE‼️ 📌Todos los días VIOLACIONES, ROBOS, OCUPACIONES, PELEAS... ‼️HASTA CUANDO‼️ #StopInmigraciónIlegal #LaÑEstáEnPeligro #LevantandoEspaña|racist
A las pocas horas de jurar como #presidente el miércoles 20 de enero de 2021, #JoeBiden anunciará un proyecto de #ley que abriría un camino hacia la #ciudadanía para millones de #inmigrantes que permanecen el #país de manera #ilegal.|non-racist
@IreneMontero De las chicas abusadas por menas… algo que decir? O sólo te importan las que dan rédito electoral?|racist
El Parlament balear impone el catalán a policías, guardias civiles y demás funcionarios del Estado 😱 Lee toda la información en el link 📲|non-racist
❌❌ El fake que dice que Suiza ha aprobado una cápsula de suicidio asistido #SinVerificarNoRT|non-racist
El liderato entre latinos lo tiene Urquidi con la tercera victoria que consiguió en estos días.|non-racist
Marroquíes intimidando e insultando a policía local de Barcelona. Finalmente logran detener a uno y ¡Sorpresa! Es otro #MENA que parásita dinero de los españoles. ¡Deportación YA 📢!|racist
Son súper doble estándar, lloran por lo ocurrido en Iquique, si, es espantoso, pero ninguno de uds se preocupa ni por el pueblo aymara ni por los chilenos que llevan meses en Colchane siendo SAQUEADOS Y AMENAZADOS por los inmigrantes que van llegando. Totalmente abandonados.|racist
"Un grupo de siete ""inmigrantes ilegales"" dan una paliza brutal a un chico de 17 años valenciano, q estaba de vacaciones en Ceuta, concretamente los hechos se produjeron en la playa. Lo apuñalaron y desfiguraron la cara, fue operado de urgencia."|racist
A mi que dejen de llamarme racista y facha ya, porque no quiera ni menas agresores ni marroquíes violadores y torturadores. Que no digan nada de delitos de odio, que el primero que comete delito de odio y discriminación a los españoles es Sanchez|racist
🎒 La vuelta a las aulas pone sobre la mesa el impacto que el confinamiento ha podido tener en el desarrollo de los alumnos. Varios representantes de la comunidad educativa coinciden: toca recuperar el aspecto emocional perdido por la clase online.|non-racist
Si no son judios son judios|non-racist
@drioquintero @CMonteroOficial @ONU_es Pero se le olvidan convenien temente arabia saudi, emiratos árabes, egipto, entre otros porque sera que los de ultraderecha son asi, además que omite que la ONU admite a cualquier país como monarquías, paraísos fiscales como panama o narco Estados como Colombia|non-racist
🔴Nuevo robo con violencia en el centro de Barcelona. 5 magrebíes detenidos:|racist
Los catalanes estamos siendo atracados Estamos recibiendo inmigrantes irregulares menas a los que han decidido darles una paga mensual Los barrios están llenos de delincuencia y se están convirtiendo en estercoleros multiculturales #VoxExtremaNecesidad #FUERZA_Y_HONOR 💃🇪🇦💚|racist
⚖ Los cuatro okupas magrebíes acusados de 'la segunda manada de Manresa' (Barcelona) niegan una violación múltiple #Barcelona #Okupas #Inmigración|racist
@guizegalvan @javierodr @Chus2633ByB 3 magrebíes ilegales.. tiran piedras a una comisaría tras acabar su caza en la discoteca cercana, insultan y amenazan a los policías, tienen dinero que robaron junto a su documentación robada… joder 🤷‍♂️ pues elíjala|racist
Ceuta dice que pidió activar el acuerdo con Marruecos e Interior solo lo hizo|non-racist
"🗣️@jalloul_hana: “Creemos en el trabajo como herramienta de inclusión. Los jóvenes, independientemente de su nacionalidad, necesitan un proyecto de vida"" 👉En @el_pais. ✔️ @inclusiongob"|non-racist
Es que los judíos controlan el mundo|non-racist
@Soyyo93316489 @Juanmjh1 @policia De qué manada? La de Navarra y los 7 magrebíes de los cuales me vas a poner fotos y nombres? O los 6 de la Manada de Bilbao? La manada de Sabadell quizás? O la de los cuatro inmigrantes irregulares magrebíes por una violación grupal en Gran Canaria?|racist
📍SAN SEBASTIÁN, ayer. 🗣️En la pancarta se lee: ➡️INDEPENDENCIA ➡️SOCIALISMO 📌Resultado👉 ◾4 detenidos ◾8 agentes heridos ◾Quema de contenedores etc... 📌Estos son los socios del gobierno actual 🤮 #GobiernoCriminal #EspañaSeHunde #LaÑEstáEnPeligro #LevantandoEspaña|non-racist
@CapitanBitcoin No queremos inmigrantes ilegales musulmanes en España. El resto lo hace conforme a lo que establece la ley en España 🇪🇸 y contribuyen como uno más de nosotros. El musulman se cree mejor que los propios Españoles 🇪🇸 y vienen a sangrarnos.|racist
Detenidos 12 polizones marroquíes que alcanzaron Motril (Granada) en un ferri desde Melilla|racist
@Christiian003 @jguiu0 @AngelDelgadoMa7 @AntonioGalleg0 Toda Barcelona es conflictiva. Conozco Badalona, Barcelona y Piera de Mar. He visto su decadencia llenándose de manteros okupas y menas durante años|racist
❌ No, el resultado del test de antígenos de este vídeo en el que supuestamente se introducen gotas de agua no es positivo: es inválido|non-racist
Hundidas Podemos: desaparece en Galicia y se desploma en el País Vasco|non-racist
Fiscalía abre investigación previa contra Guillermo Lasso en conexión con los papeles de Pandora #Noticias #caribe #americalatina #latinos #mexico #usa #republicadominicana #covi_19|non-racist
@CHVNoticias Espero le muestre el dedo a todos los inmigrantes ilegales y terroristas venezolanos y cubanos de la Araucanía. Disfrazados de Mapuches...|racist
🗣️Coche bomba en Nashville, Tennessee. 📌Aún todo por esclarecer. 🤔Habrán sido los de siempre⁉️ #StopInmigraciónIlegal #LaÑEstáEnPeligro #LevantandoEspaña|racist
Los autónomos de La Palma se quedan fuera de las ayudas. Mientras tanto el Ministerio de Irene Montero se seguirá comiendo 500 millones de euros de los españoles. Mantienen sus privilegios a costa de la ruina de los españoles.|non-racist
@ChusGC @FonsiLoaiza @jonathanmartinz @grodira @policia Estos manifestantes no se manifiestan por muertes violentas si la víctima es un hombre heterosexual o si hay involucrados personas de etnia gitana, inmigrantes, menas, magrebis o subsaharianos.|non-racist
hay chicas re lindas en mi escuela, lastima q son pakis|racist
y porqué es lo que hay que hacer con los menas y con los adultos también!!!! NO a los inmigrantes ilegales!!!!|racist
@Solivillegas @montedemarte @quiz_viajero Hay que tener cuidado con el sorteo de greencard. Si te anotas quedas registrado en el sistema como que tenes intenciones de vivir allá, y podes tener problemas con la Visa de turista y demás. Lo hacen para eso, para identificar posibles inmigrantes ilegales.|non-racist
La inmigración descontrolada que han importado los políticos ha generado inseguridad y ha traído los machetes y la sangre a nuestros barrios. No es justo que los españoles tengan que sufrir las consecuencias de esta invasión. ¡Fronteras seguras, barrios seguros!|racist
.@joanribo ya ha implantado con éxito el modelo Colau en el casco histórico de Valencia. Magrebíes ilegales bañándose desnudos en fuentes frente a un colegio, okupando y causando terror entre los vecinos. La @policialocalvlc no les cogen ni las denuncias.|racist
