|text|target
0|@liznorthon @SoyAIvaro @ursulaeggers @MielyMerken @AlessandriFelip Pillaron al presunto, es de nacionalidad colombiana. No es sorpresa, la violencia es parte del inmigrante de origen colombiano, es su cultura.|1
1|@ccarvajaly Cuando se den cuenta que eran homicidas o narco y los pillen dirán hemos dado con este inmigrante ilegal que era un delincuente.|1
2|@SergioChouza @santidemoreno11 Jajaajja ahí estuviste bien chouza se nota TU CABEZA DE SUDACA Y DE MAL PAGADOR,lo llevan en el ADN!!! esos papelitos para los países serios es un compromiso para vos y para los sudacas no|1
3|Acá podemos ver a un alemán, de cabello rubio, ojos celestes, bardeando a un negro de mierda que está en su mejor momento https://t.co/XchqgGMamO|1
4|"@Senado_Chile Murieron 8 compatriotas por culpa de un inmigrante que nunca debió pisar Chile, y ustedes se dan el lujo de no sesionar. Por su inacción, son cómplices de esas muertes. Más mano dura con los Ilegales.

#nomasinmigracionilegal
#nuevaleydemigracion"|1
5|Hay un negro de mierda q nos roba el foquito de afuera de casa. Si, el foquitooooo!! Q negro rata de mierda|1
6|@Bizco_Chuelo Que dijo el inmigrante del altiplano? Me tiene bloqueado|1
7|@ky91234567 @GobiernodeChile Da igual eran indigentes y chilenos, @GobiernodeChile le importan más inmigrantes en darles todo gratis. Así que ya saben, si los mata un inmigrante la justicia y gobierno le importará una reverenda raja. No lo olviden|1
8|Un chileno trabajador debe esperar años para poder arrendar un departamento si es que ha caído 3n dicom. Es como una condena de por vida... un inmigrante hasta se regodea con las ofertas, al dueño ahí le da lo mismo sin tienen antecedentes penales, hasta les pone alfombra roja.|1
9|"El modelo de Harris es una creación de Carolina Herrera, una de las marcas más icónicas de EE UU y fundada en 1981 por una mujer venezolana, una inmigrante

Por @carmenmadi
https://t.co/jrAMfpX5I3"|1
10|@cgajardop EL TITULAR DEBE MENCIONAR QUE EL ASESINO ES UN INMIGRANTE COLOMBIAMO !!!!!|1
11|@____Daniel___E @BulnesUno @guardiacivil @policia Puto negro. Si lo pillo, lo reviento. O por lo menos lo intento...|1
12|@JohanRtp @miraquemiras @HechosVirales Alto panchito el colombia este llego a ir y le acomodo los dientes y le arreglo la cara de tragasable que tiene seguro le mataron al papa que amenazo con un arma al policia y le hecha la culpa a los policias|1
13|"Hijos de re mil putas!
Son corruptos y encima no tienen un puto criterio 
Mientras tanto el hijo de mil putas de Damico le sigue chupando la verga al negro de mierda de Tapia. https://t.co/tACjPQo3SG"|1
14|@_Jordix13 pero que hace ese puto negro loco|1
15|"Por supuesto cabal 13 se olvida de decir que el asesino era un inmigrante colombiano.
Para cuando la pena de muerte?
Para cuando la expulsión masiva de delincuentes extranjeros? https://t.co/G0oVd9h5o0"|1
16|Me alegro de la lesión del puto negro del fracasalona debido al inflamiento mediático de la prensa Culerda y parte de la española, a mamar.|1
17|@NicoNavarroCABJ @patomartinez22 @CANOBoficial Ese instante es posterior a que el negro de mierda de Tevez le impacta el antebrazo y la pelota rebote en la mano del arquero. Con razón le dicen bosteros, son todos unos soretes|1
18|@elsombare A cachondo lo miran las milis y sus novios, es un asco ese negro de mierda ni gracia da|1
19|"dejame adivinar... inmigrante?... narco?... alguna marca o manera especial de ""firmar su obra""?... mas temprano que tarde, el mierdal que armaron, les va a llegar a la puerta... https://t.co/f9gTlHC91q"|1
20|"Eres un simio, eres un puto simio, tienes 2 neuronas y a veces no se te empalman, mecago en tu puta madre'

Creo que nadie jamás había descrito con tanta exactitud cuánta subnormalez hay metida en este cuerpo, gracias @SrAlvija"|1
21|"@biobio Jajajaaa inmigrante sera colombiano?
Como permiten que entre esa calaña de gente.y asi como ese deben haber muchos más pululando por ahi."|1
22|Unpopular opinion: como bogotano me da lo mismo un inmigrante venezolano que un inmigrante paisa/costeño/caleño/etc. La diferencia es un papelito nada más.|1
23|@24HorasTVN Bien ahí, enriqueciendo la cultura y aportando a Chile. No era ese el eslogan para permitir la llegada de tanto inmigrante?|1
24|@Husar_Ludlow @carlosguerra53 Hay que  hecharlo  a pata' en la raja inmigrante sinvergüenza.|1
25|@indiigou estafador, familia de acogida en otro pais, inmigrante|1
26|@24HorasTVN Para q vamos a preguntar si es inmigrante 🤷🏻‍♂️|1
27|Holis @ClaudiaLopez un colombiano inmigrante asesinó a 8 personas en 8 días aquí en Chile, generalizamos o sería xenofobia? https://t.co/KVySw9Cotc|1
28|@cabrerahercap Siempre el negro de mierda de Tévez.. es una mierda|1
29|"@vidalvocero Haber. Osea es inculto porque no es progre, es xenofobo porque limita el ingreso de extranjeros y es malo ser patriota. Te digo panchito, a tu modo de pensar prefiero ser inculto, xenofobo y por supuesto patriota a ser progre.
Y aun no esta dicha la ultima palabra en USA."|1
30|Que hijo de puta este negro de mierda.  Mira si vas a patear así la concha de tu hermana|1
